========================================
  RÉSULTATS : 2voices_1_3_vtype_3
========================================

--- Configuration ---
CF                : 8 (Do Reference Grave)
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 2
Espèces (incl CF) : 1 2
v_type            : 3
Timeout max (ms)  : 180000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 180000.0
Temps 1ère solution (ms)    : 9.6
Temps dernière amélio. (ms) : 98770.8
Solutions trouvées          : 112
Améliorations de coût       : 111
Score pondéré           : 1925.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 2150694
Échecs     : 1075227
Restarts   : 0
Propagat.  : 2301600485
Profondeur : 64

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1           9.6     24959.0
       2          10.0     24755.0
       3          10.1     24704.0
       4          10.2     24653.0
       5          10.3     24602.0
       6          10.4     24551.0
       7          10.5     24500.0
       8          10.5     24449.0
       9          10.6     24398.0
      10          10.7     24347.0
      11          10.7     24143.0
      12          10.9     24099.0
      13          11.0     23895.0
      14          11.5      7039.0
      15          11.9      6835.0
      16          12.2      6784.0
      17          12.3      6733.0
      18          12.5      6682.0
      19          12.6      6631.0
      20          12.6      6580.0
      21          12.7      6529.0
      22          12.8      6478.0
      23          12.8      6427.0
      24          12.9      6376.0
      25          13.0      6325.0
      26          13.0      6274.0
      27          13.1      6223.0
      28          13.2      6019.0
      29          13.8      5957.0
      30          14.5      5757.0
      31          14.8      5553.0
      32          14.9      5502.0
      33          15.0      5451.0
      34          15.2      5400.0
      35          15.2      5349.0
      36          15.3      5298.0
      37          15.4      5247.0
      38          15.4      5196.0
      39          15.5      5145.0
      40          15.6      5094.0
      41          15.6      5043.0
      42          15.7      4992.0
      43          15.8      4941.0
      44          15.8      4737.0
      45          17.1      4727.0
      46          19.8      4707.0
      47          26.2      4667.0
      48          27.9      4657.0
      49          28.9      4627.0
      50          30.2      4607.0
      51          40.4      4584.0
      52          61.4      4560.0
      54          65.6      4356.0
      55          69.5      4305.0
      56          73.6      4294.0
      57          82.9      4152.0
      58          83.0      4142.0
      59         122.3      4109.0
      60         122.5      3905.0
      61         204.1      3793.0
      62         371.0      3733.0
      63         373.2      3722.0
      64         377.0      3682.0
      65         431.7      3618.0
      66         448.2      3598.0
      67         625.1      3588.0
      68         771.7      3498.0
      69         781.9      3478.0
      70        1287.9      3463.0
      71        1288.0      3453.0
      72        1501.7      3425.0
      73        2189.8      3399.0
      74        3000.9      3312.0
      75        3120.8      3304.0
      76        3137.9      3253.0
      77        3180.1      3160.0
      78        4370.1      3140.0
      79        4590.6      3089.0
      80        4981.4      3078.0
