========================================
  RÉSULTATS : 3voices_1_1_1_vtype_3_1
========================================

--- Configuration ---
CF                : 8 (Do Reference Grave)
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 3
Espèces (incl CF) : 1 0 0
v_type            : 3 1
Timeout max (ms)  : 180000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 136491.5
Temps 1ère solution (ms)    : 8.1
Temps dernière amélio. (ms) : 125785.8
Solutions trouvées          : 111
Améliorations de coût       : 107
Score pondéré           : 1071.0
Terminaison                 : EXHAUSTIVE (optimal)

--- Statistiques Gecode ---
Nœuds      : 1232215
Échecs     : 615997
Restarts   : 0
Propagat.  : 1015519679
Profondeur : 47

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1           8.1      6303.0
       2           9.1      6219.0
       3           9.5      5960.0
       4           9.9      5765.0
       5          10.7      5744.0
       6          11.4      5726.0
       7          11.8      5624.0
       8          12.2      5582.0
       9          12.4      5465.0
      10          14.7      5372.0
      11          16.1      5273.0
      12          16.7      5252.0
      13          17.8      5062.0
      14          18.2      4966.0
      15          21.3      4849.0
      16          22.2      4843.0
      17          22.8      4831.0
      18          23.1      4810.0
      19          51.8      4723.0
      20          53.9      4648.0
      21          73.6      4552.0
      22          78.2      4495.0
      23          78.5      4474.0
      24         115.2      4393.0
      25         171.1      4351.0
      26         171.6      4318.0
      27         179.0      4305.0
      28         179.5      4224.0
      29         179.8      4143.0
      30         180.1      4131.0
      31         181.6      4035.0
      32         182.0      4014.0
      33         209.7      3984.0
      34         222.3      3909.0
      35         222.8      3888.0
      36         317.0      3843.0
      37         317.2      3822.0
      38         327.9      3786.0
      39         403.9      3765.0
      40         404.3      3753.0
      41         406.8      3750.0
      42         535.5      3741.0
      43         585.3      3691.0
      44         587.9      3654.0
      45         588.7      3645.0
      46         588.9      3510.0
      47         592.2      3468.0
      48         592.6      3435.0
      49         604.1      3360.0
      50         620.1      3345.0
      51         674.9      3255.0
      52         675.8      3222.0
      53         855.5      3213.0
      54         864.4      3195.0
      55         869.9      3075.0
      57         895.9      3042.0
      58         953.8      3030.0
      59         980.4      3012.0
      60         984.1      2985.0
      61        1051.6      2919.0
      62        1095.1      2904.0
      63        1166.9      2901.0
      64        1167.2      2868.0
      65        6312.1      2838.0
      66        6712.4      2799.0
      67        6788.3      2769.0
      68        6798.2      2763.0
      69        7231.6      2748.0
      70        7287.7      2712.0
      71        8093.6      2706.0
      73        8218.5      2673.0
      74        8220.1      2670.0
      75        8226.5      2628.0
      76        8227.3      2595.0
      77       15227.4      2538.0
      78       15521.3      2502.0
      80       16863.2      2481.0
      81       16863.9      2439.0
      82       17410.4      2340.0
      84       17762.2      2265.0
      85       18116.5      2229.0
      86       18561.2      2166.0
      87       25072.9      2049.0
      88       25085.3      2046.0
      89       25502.9      2037.0
      90       34301.7      1998.0
      91       40837.1      1983.0
      92       44557.3      1941.0
      93       44578.2      1911.0
      94       44578.6      1899.0
      95       44800.2      1881.0
      96       44975.5      1803.0
      97       44976.3      1791.0
      98       45329.3      1722.0
      99       53637.5      1704.0
     100       63193.2      1701.0
     101       64253.7      1638.0
     102       64926.6      1560.0
     103       64980.5      1557.0
     104       65601.1      1542.0
     105       65766.1      1431.0
     106      107710.6      1392.0
     107      124239.9      1365.0
     108      124846.1      1308.0
     109      125321.9      1257.0
     110      125322.5      1182.0
     111      125785.8      1071.0

--- Évolution du vecteur de coûts (toutes les solutions BAB) ---
    Sol#    Temps (ms)        Cost  Vecteur lex
       1           8.1      6303.0  6207, 6, 18, 12, 3, 0, 18, 33, 0, 6
       2           9.1      6219.0  6124, 6, 18, 12, 3, 0, 18, 30, 0, 8
       3           9.5      5960.0  5868, 4, 18, 12, 2, 0, 20, 28, 0, 8
       4           9.9      5765.0  5675, 4, 16, 13, 1, 0, 18, 30, 0, 8
       5          10.7      5744.0  5655, 4, 16, 12, 2, 0, 18, 31, 0, 6
       6          11.4      5726.0  5640, 4, 18, 13, 2, 0, 22, 19, 0, 8
       7          11.8      5624.0  5539, 4, 18, 12, 2, 0, 22, 18, 0, 9
       8          12.2      5582.0  5496, 4, 16, 12, 2, 0, 20, 24, 0, 8
       9          12.4      5465.0  5382, 4, 16, 12, 3, 0, 20, 20, 0, 8
      10          14.7      5372.0  5290, 4, 16, 12, 2, 0, 18, 22, 0, 8
      11          16.1      5273.0  5194, 4, 16, 13, 1, 0, 18, 21, 0, 6
      12          16.7      5252.0  5174, 4, 16, 12, 2, 0, 18, 22, 0, 4
      13          17.8      5062.0  4985, 2, 16, 13, 0, 0, 20, 20, 0, 6
      14          18.2      4966.0  4891, 2, 16, 14, 0, 0, 20, 15, 0, 8
      15          21.3      4849.0  4777, 2, 16, 12, 1, 0, 20, 17, 0, 4
      16          22.2      4843.0  4770, 2, 16, 12, 1, 0, 18, 18, 0, 6
      17          22.8      4831.0  4759, 2, 16, 13, 1, 0, 18, 16, 0, 6
      18          23.1      4810.0  4739, 2, 16, 12, 2, 0, 18, 17, 0, 4
      19          51.8      4723.0  4654, 2, 16, 11, 3, 0, 20, 13, 0, 4
      20          53.9      4648.0  4580, 2, 16, 11, 2, 0, 20, 13, 0, 4
      21          73.6      4552.0  4486, 2, 16, 11, 2, 0, 20, 11, 0, 4
      22          78.2      4495.0  4430, 2, 16, 12, 1, 0, 18, 12, 0, 4
      23          78.5      4474.0  4410, 2, 16, 11, 2, 0, 18, 13, 0, 2
      24         115.2      4393.0  4329, 2, 16, 10, 3, 0, 18, 9, 0, 6
      25         171.1      4351.0  4286, 2, 14, 12, 1, 0, 20, 8, 0, 8
      26         171.6      4318.0  4255, 2, 14, 12, 2, 0, 20, 7, 0, 6
      27         179.0      4305.0  4241, 0, 16, 13, 1, 0, 18, 8, 0, 8
      28         179.5      4224.0  4160, 0, 14, 12, 2, 0, 20, 8, 0, 8
      29         179.8      4143.0  4079, 0, 14, 12, 1, 0, 18, 9, 0, 10
      30         180.1      4131.0  4068, 0, 14, 13, 1, 0, 18, 7, 0, 10
      31         181.6      4035.0  3974, 0, 14, 12, 1, 0, 18, 8, 0, 8
      32         182.0      4014.0  3954, 0, 14, 11, 2, 0, 18, 9, 0, 6
      33         209.7      3984.0  3925, 0, 14, 10, 2, 0, 20, 9, 0, 4
      34         222.3      3909.0  3851, 0, 14, 11, 1, 0, 20, 6, 0, 6
      35         222.8      3888.0  3831, 0, 14, 10, 2, 0, 20, 7, 0, 4
      36         317.0      3843.0  3786, 0, 14, 10, 1, 0, 18, 10, 0, 4
      37         317.2      3822.0  3766, 0, 14, 9, 2, 0, 18, 11, 0, 2
      38         327.9      3786.0  3730, 0, 14, 9, 2, 0, 18, 9, 0, 4
      39         403.9      3765.0  3707, 0, 14, 10, 1, 0, 16, 7, 0, 10
      40         404.3      3753.0  3696, 0, 14, 11, 1, 0, 16, 5, 0, 10
      41         406.8      3750.0  3694, 0, 14, 9, 2, 0, 18, 7, 0, 6
      42         535.5      3741.0  3685, 0, 14, 11, 1, 0, 12, 12, 0, 6
      43         585.3      3691.0  3639, 2, 12, 10, 3, 0, 16, 7, 0, 2
      44         587.9      3654.0  3600, 0, 12, 10, 2, 0, 16, 12, 0, 2
      45         588.7      3645.0  3591, 0, 12, 11, 1, 0, 18, 8, 0, 4
      46         588.9      3510.0  3459, 0, 12, 10, 2, 0, 16, 9, 0, 2
      47         592.2      3468.0  3416, 0, 12, 10, 0, 0, 16, 10, 0, 4
      48         592.6      3435.0  3385, 0, 12, 10, 1, 0, 16, 9, 0, 2
      49         604.1      3360.0  3311, 0, 12, 10, 2, 0, 14, 7, 0, 4
      50         620.1      3345.0  3295, 0, 12, 9, 3, 0, 12, 8, 0, 6
      51         674.9      3255.0  3205, 0, 12, 9, 1, 0, 12, 8, 0, 8
      52         675.8      3222.0  3174, 0, 12, 9, 2, 0, 12, 7, 0, 6
      53         855.5      3213.0  3165, 0, 12, 11, 1, 0, 8, 9, 0, 7
      54         864.4      3195.0  3147, 0, 12, 11, 1, 0, 6, 11, 0, 7
      55         869.9      3075.0  3031, 0, 12, 11, 1, 0, 6, 11, 0, 3
      56         895.5      3075.0  3028, 0, 12, 9, 1, 0, 6, 12, 0, 7
      57         895.9      3042.0  2997, 0, 12, 9, 2, 0, 6, 11, 0, 5
      58         953.8      3030.0  2986, 0, 12, 9, 2, 0, 6, 12, 0, 3
      59         980.4      3012.0  2968, 0, 12, 9, 2, 0, 8, 8, 0, 5
      60         984.1      2985.0  2941, 0, 12, 9, 1, 0, 8, 9, 0, 5
      61        1051.6      2919.0  2876, 0, 12, 9, 1, 0, 6, 10, 0, 5
      62        1095.1      2904.0  2860, 0, 10, 9, 2, 0, 6, 12, 0, 5
      63        1166.9      2901.0  2855, 0, 10, 9, 1, 0, 6, 11, 0, 9
      64        1167.2      2868.0  2824, 0, 10, 9, 2, 0, 6, 10, 0, 7
      65        6312.1      2838.0  2795, 0, 10, 7, 4, 0, 10, 5, 0, 7
      66        6712.4      2799.0  2757, 0, 10, 7, 3, 0, 8, 10, 0, 4
      67        6788.3      2769.0  2725, 0, 10, 7, 3, 0, 6, 8, 0, 10
      68        6798.2      2763.0  2721, 0, 10, 7, 3, 0, 8, 8, 0, 6
      69        7231.6      2748.0  2705, 0, 8, 7, 4, 0, 8, 10, 0, 6
      70        7287.7      2712.0  2669, 0, 8, 7, 4, 0, 8, 8, 0, 8
      71        8093.6      2706.0  2665, 0, 10, 9, 2, 0, 2, 12, 0, 6
      72        8218.0      2706.0  2665, 0, 10, 9, 0, 0, 4, 14, 0, 4
      73        8218.5      2673.0  2634, 0, 10, 9, 1, 0, 4, 13, 0, 2
      74        8220.1      2670.0  2629, 0, 8, 9, 2, 0, 4, 14, 0, 4
      75        8226.5      2628.0  2586, 0, 8, 9, 2, 0, 2, 13, 0, 8
      76        8227.3      2595.0  2555, 0, 8, 9, 3, 0, 2, 12, 0, 6
      77       15227.4      2538.0  2499, 0, 8, 7, 4, 0, 6, 8, 0, 6
      78       15521.3      2502.0  2463, 0, 8, 7, 4, 0, 6, 6, 0, 8
      79       16465.3      2502.0  2463, 0, 8, 7, 4, 0, 4, 9, 0, 7
      80       16863.2      2481.0  2440, 0, 6, 8, 3, 0, 4, 11, 0, 9
      81       16863.9      2439.0  2400, 0, 6, 8, 3, 0, 6, 9, 0, 7
      82       17410.4      2340.0  2304, 0, 8, 6, 4, 0, 4, 8, 0, 6
      83       17734.9      2340.0  2304, 0, 6, 6, 4, 0, 6, 12, 0, 2
      84       17762.2      2265.0  2230, 0, 6, 6, 5, 0, 4, 10, 0, 4
      85       18116.5      2229.0  2194, 0, 6, 6, 5, 0, 4, 8, 0, 6
      86       18561.2      2166.0  2131, 0, 4, 7, 4, 0, 4, 11, 0, 5
      87       25072.9      2049.0  2014, 0, 2, 3, 7, 0, 6, 13, 0, 4
      88       25085.3      2046.0  2012, 0, 4, 3, 6, 0, 4, 13, 0, 4
      89       25502.9      2037.0  2003, 0, 2, 4, 7, 0, 6, 11, 0, 4
      90       34301.7      1998.0  1968, 0, 6, 4, 6, 0, 4, 7, 0, 3
      91       40837.1      1983.0  1952, 0, 4, 4, 7, 0, 6, 6, 0, 4
      92       44557.3      1941.0  1912, 0, 8, 3, 5, 0, 2, 7, 0, 4
      93       44578.2      1911.0  1883, 0, 8, 2, 5, 0, 4, 7, 0, 2
      94       44578.6      1899.0  1872, 0, 8, 3, 5, 0, 4, 5, 0, 2
      95       44800.2      1881.0  1854, 0, 8, 4, 5, 0, 2, 4, 0, 4
      96       44975.5      1803.0  1775, 0, 4, 2, 7, 0, 6, 7, 0, 2
      97       44976.3      1791.0  1764, 0, 4, 3, 7, 0, 6, 5, 0, 2
      98       45329.3      1722.0  1694, 0, 2, 2, 8, 0, 6, 7, 0, 3
      99       53637.5      1704.0  1679, 0, 6, 3, 6, 0, 0, 8, 0, 2
     100       63193.2      1701.0  1671, 0, 0, 1, 9, 0, 6, 10, 0, 4
     101       64253.7      1638.0  1611, 0, 2, 1, 8, 0, 6, 7, 0, 3
     102       64926.6      1560.0  1535, 0, 2, 1, 8, 0, 6, 6, 0, 2
     103       64980.5      1557.0  1533, 0, 4, 1, 7, 0, 4, 6, 0, 2
     104       65601.1      1542.0  1517, 0, 2, 1, 8, 0, 6, 5, 0, 3
     105       65766.1      1431.0  1407, 0, 0, 1, 9, 0, 6, 5, 0, 3
     106      107710.6      1392.0  1369, 0, 2, 0, 8, 0, 4, 6, 0, 3
     107      124239.9      1365.0  1342, 0, 0, 0, 9, 0, 6, 6, 0, 2
     108      124846.1      1308.0  1286, 0, 2, 0, 8, 0, 4, 3, 0, 5
     109      125321.9      1257.0  1237, 0, 2, 0, 9, 0, 0, 7, 0, 2
     110      125322.5      1182.0  1163, 0, 2, 0, 8, 0, 2, 4, 0, 3
     111      125785.8      1071.0  1053, 0, 0, 0, 9, 0, 2, 4, 0, 3

--- Solution (notes MIDI) ---
64 65 69 67 62 60 59 57 55 55 57 60 59 59 57 55 53 52 
