cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-1,1-2-2,480000,0,480000.5,22.3,323098.7,139,137,43768.0,TIMEOUT_MAX,3800749,1900220,0,2966785012,95

# Améliorations
solution_num,temps_ms,cout
1,22.3,53619.0
2,22.7,53542.0
3,23.0,53465.0
4,23.3,53388.0
5,23.5,53311.0
6,23.8,53234.0
7,24.1,53157.0
8,24.3,53080.0
9,24.5,53003.0
10,24.8,52926.0
11,25.0,52849.0
12,25.3,52772.0
13,25.5,52695.0
14,25.8,52618.0
15,26.0,52541.0
16,26.2,52464.0
17,26.5,52387.0
18,26.7,52310.0
19,27.0,52233.0
20,27.2,52156.0
21,27.5,52079.0
22,27.7,52002.0
23,28.0,51925.0
24,28.2,51848.0
25,28.4,51771.0
26,28.7,51694.0
27,28.9,51617.0
28,29.2,51540.0
29,29.4,51463.0
30,29.6,51386.0
31,29.9,51309.0
32,30.1,51232.0
33,30.4,51155.0
34,30.6,51078.0
35,30.9,51001.0
36,31.1,50924.0
37,31.4,50847.0
38,31.6,50770.0
39,31.9,50693.0
40,32.1,50616.0
41,32.3,50539.0
42,32.6,50462.0
43,32.8,50385.0
44,33.0,50231.0
45,33.3,50183.0
46,33.6,50029.0
47,35.1,49954.0
48,35.6,49877.0
49,35.8,49800.0
50,36.1,49723.0
51,36.4,49646.0
52,36.7,49492.0
53,37.0,49471.0
54,37.3,49394.0
55,37.5,49317.0
56,37.8,49240.0
57,38.1,49086.0
58,38.7,49033.0
59,38.9,48956.0
60,39.2,48879.0
61,39.5,48802.0
62,39.8,48648.0
63,41.7,48603.0
64,43.1,48547.0
65,43.6,48470.0
66,43.9,48393.0
67,44.1,48316.0
68,44.4,48162.0
69,59.5,48125.0
70,101.0,48072.0
71,128.3,47966.0
72,130.3,47913.0
73,142.1,47849.0
74,143.9,47812.0
75,153.1,47759.0
76,153.4,47733.0
77,153.8,47656.0
78,154.1,47579.0
79,154.4,47502.0
80,154.9,47425.0
81,155.2,47348.0
82,155.3,47194.0
83,156.9,47160.0
84,157.3,47083.0
85,157.7,46929.0
86,167.9,46908.0
87,168.4,46754.0
88,175.3,46722.0
89,177.4,46696.0
90,177.5,46542.0
91,289.5,46428.0
92,293.5,46375.0
93,392.0,46335.0
94,405.1,46317.0
95,405.6,46163.0
96,880.6,46014.0
97,882.6,45993.0
98,885.6,45887.0
99,1908.7,45884.0
100,1952.3,45870.0
101,1958.6,45764.0
102,1988.8,45746.0
103,1989.3,45592.0
104,2300.5,45589.0
105,2326.9,45568.0
106,3245.2,45552.0
107,7279.9,45473.0
108,7280.8,45377.0
109,7340.7,45285.0
110,7482.3,45224.0
111,7800.8,45141.0
112,8003.0,45033.0
113,9475.8,44976.0
114,9477.9,44870.0
115,9497.6,44817.0
116,9498.2,44780.0
118,9862.7,44745.0
119,9919.1,44692.0
120,10119.8,44671.0
121,11767.8,44646.0
122,11768.9,44608.0
123,11769.2,44603.0
124,11769.7,44449.0
125,11770.1,44380.0
126,15308.8,44377.0
127,30864.4,44359.0
128,30865.1,44343.0
129,30865.4,44290.0
130,31034.4,44229.0
131,31034.7,44075.0
132,31035.1,44006.0
133,70815.4,44005.0
134,73641.9,43899.0
135,138775.3,43867.0
137,323023.1,43858.0
138,323097.5,43779.0
139,323098.7,43768.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,22.3,53619.0,"52652; 16; 134; 17; 48; 7; 4; 61; 670; 0; 10"
2,22.7,53542.0,"52576; 16; 134; 17; 47; 7; 4; 61; 670; 0; 10"
3,23.0,53465.0,"52500; 16; 134; 17; 46; 7; 4; 61; 670; 0; 10"
4,23.3,53388.0,"52424; 16; 134; 17; 45; 7; 4; 61; 670; 0; 10"
5,23.5,53311.0,"52348; 16; 134; 17; 44; 7; 4; 61; 670; 0; 10"
6,23.8,53234.0,"52272; 16; 134; 17; 43; 7; 4; 61; 670; 0; 10"
7,24.1,53157.0,"52196; 16; 134; 17; 42; 7; 4; 61; 670; 0; 10"
8,24.3,53080.0,"52120; 16; 134; 17; 41; 7; 4; 61; 670; 0; 10"
9,24.5,53003.0,"52044; 16; 134; 17; 40; 7; 4; 61; 670; 0; 10"
10,24.8,52926.0,"51968; 16; 134; 17; 39; 7; 4; 61; 670; 0; 10"
11,25.0,52849.0,"51892; 16; 134; 17; 38; 7; 4; 61; 670; 0; 10"
12,25.3,52772.0,"51816; 16; 134; 17; 37; 7; 4; 61; 670; 0; 10"
13,25.5,52695.0,"51740; 16; 134; 17; 36; 7; 4; 61; 670; 0; 10"
14,25.8,52618.0,"51664; 16; 134; 17; 35; 7; 4; 61; 670; 0; 10"
15,26.0,52541.0,"51588; 16; 134; 17; 34; 7; 4; 61; 670; 0; 10"
16,26.2,52464.0,"51512; 16; 134; 17; 33; 7; 4; 61; 670; 0; 10"
