cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-3,1-1-2,480000,0,480000.1,363477.5,381268.7,16,16,14760.0,TIMEOUT_MAX,3992791,1996362,0,1908630676,111

# Améliorations
solution_num,temps_ms,cout
1,363477.5,19193.0
2,363478.1,17990.0
3,363478.8,17430.0
4,363545.1,17393.0
5,363545.8,17248.0
6,363608.2,16241.0
7,363963.1,15805.0
8,363964.0,15638.0
9,363964.6,15573.0
10,364499.2,15248.0
11,364502.3,15233.0
12,365927.5,15183.0
13,365930.1,15168.0
14,381265.6,14847.0
15,381267.5,14775.0
16,381268.7,14760.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,363477.5,19193.0,"18917; 0; 2; 144; 16; 1; 3; 18; 0; 87; 0; 5"
2,363478.1,17990.0,"17728; 0; 2; 130; 17; 1; 2; 18; 0; 87; 0; 5"
3,363478.8,17430.0,"17175; 0; 2; 130; 10; 1; 2; 18; 0; 87; 0; 5"
4,363545.1,17393.0,"17137; 0; 4; 116; 18; 5; 3; 18; 0; 87; 0; 5"
5,363545.8,17248.0,"16994; 0; 4; 116; 17; 5; 2; 18; 0; 87; 0; 5"
6,363608.2,16241.0,"15999; 0; 0; 116; 11; 2; 3; 18; 0; 87; 0; 5"
7,363963.1,15805.0,"15567; 0; 2; 102; 15; 4; 5; 18; 0; 87; 0; 5"
8,363964.0,15638.0,"15402; 0; 2; 102; 13; 3; 6; 18; 0; 87; 0; 5"
9,363964.6,15573.0,"15338; 0; 2; 102; 13; 3; 5; 18; 0; 87; 0; 5"
10,364499.2,15248.0,"15017; 0; 0; 102; 13; 2; 4; 18; 0; 87; 0; 5"
11,364502.3,15233.0,"15002; 0; 0; 102; 12; 2; 5; 18; 0; 87; 0; 5"
12,365927.5,15183.0,"14953; 0; 0; 102; 13; 2; 3; 18; 0; 87; 0; 5"
13,365930.1,15168.0,"14938; 0; 0; 102; 12; 2; 4; 18; 0; 87; 0; 5"
14,381265.6,14847.0,"14640; 0; 0; 116; 14; 2; 3; 18; 0; 49; 0; 5"
15,381267.5,14775.0,"14569; 0; 0; 116; 14; 1; 3; 18; 0; 49; 0; 5"
16,381268.7,14760.0,"14554; 0; 0; 116; 13; 1; 4; 18; 0; 49; 0; 5"
