cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-3,1-1-3,480000,0,480000.0,359105.1,376473.8,50,50,14760.0,TIMEOUT_MAX,3862715,1931288,0,1814771453,116

# Améliorations
solution_num,temps_ms,cout
1,359105.1,25700.0
2,359107.9,25560.0
3,359108.7,25475.0
4,359108.9,25460.0
5,359110.5,22360.0
6,359112.0,22260.0
7,359114.9,22258.0
8,359115.5,22158.0
9,359115.8,22143.0
10,359122.2,22070.0
11,359122.5,21955.0
12,359129.2,20085.0
13,359129.5,19860.0
14,359131.4,19720.0
15,359131.9,19635.0
16,359132.7,19620.0
17,359172.0,18933.0
18,359172.3,18728.0
19,359172.7,18693.0
20,359173.0,18468.0
21,359174.8,18403.0
22,359220.8,18090.0
23,359239.6,17770.0
24,359240.1,17655.0
25,359240.8,17640.0
26,359241.7,17415.0
27,359242.7,17350.0
28,359586.3,17155.0
29,359587.9,16987.0
30,359590.1,16900.0
31,359595.6,16785.0
32,359596.6,16770.0
33,364654.0,16720.0
34,364655.1,16705.0
35,367538.5,16619.0
36,367539.2,16604.0
37,368095.5,16544.0
38,368095.9,16537.0
39,368096.3,16204.0
40,368098.8,16036.0
41,368099.5,15964.0
42,368100.3,15949.0
43,369827.0,15882.0
44,369827.9,15742.0
45,369828.9,15642.0
46,370016.5,15545.0
47,370016.9,14940.0
48,370017.2,14840.0
49,370017.6,14825.0
50,376473.8,14760.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,359105.1,25700.0,"25342; 0; 6; 134; 100; 4; 4; 18; 0; 87; 0; 5"
2,359107.9,25560.0,"25204; 0; 8; 134; 95; 5; 4; 18; 0; 87; 0; 5"
3,359108.7,25475.0,"25120; 0; 6; 134; 98; 4; 3; 18; 0; 87; 0; 5"
4,359108.9,25460.0,"25105; 0; 6; 134; 97; 4; 4; 18; 0; 87; 0; 5"
5,359110.5,22360.0,"22044; 0; 8; 134; 55; 5; 4; 18; 0; 87; 0; 5"
6,359112.0,22260.0,"21945; 0; 6; 134; 57; 4; 4; 18; 0; 87; 0; 5"
7,359114.9,22258.0,"21944; 0; 10; 134; 53; 5; 2; 18; 0; 87; 0; 5"
8,359115.5,22158.0,"21845; 0; 8; 134; 55; 4; 2; 18; 0; 87; 0; 5"
9,359115.8,22143.0,"21830; 0; 8; 134; 54; 4; 3; 18; 0; 87; 0; 5"
10,359122.2,22070.0,"21758; 0; 8; 134; 53; 5; 2; 18; 0; 87; 0; 5"
11,359122.5,21955.0,"21644; 0; 6; 134; 54; 4; 3; 18; 0; 87; 0; 5"
12,359129.2,20085.0,"19797; 0; 6; 134; 29; 4; 5; 18; 0; 87; 0; 5"
13,359129.5,19860.0,"19575; 0; 6; 134; 27; 4; 4; 18; 0; 87; 0; 5"
14,359131.4,19720.0,"19437; 0; 8; 134; 22; 5; 4; 18; 0; 87; 0; 5"
15,359131.9,19635.0,"19353; 0; 6; 134; 25; 4; 3; 18; 0; 87; 0; 5"
16,359132.7,19620.0,"19338; 0; 6; 134; 24; 4; 4; 18; 0; 87; 0; 5"
17,359172.0,18933.0,"18659; 0; 2; 134; 22; 1; 5; 18; 0; 87; 0; 5"
