cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-3,1-2-2,480000,0,480000.0,38.5,238383.9,37,36,16835.0,TIMEOUT_MAX,4078406,2039147,0,2726355714,124

# Améliorations
solution_num,temps_ms,cout
1,38.5,43813.0
2,39.5,43698.0
3,40.6,43270.0
4,41.1,43103.0
5,41.3,42958.0
6,44.6,42747.0
7,2884.6,42667.0
8,3053.4,42654.0
9,3059.3,42414.0
10,3067.8,42269.0
11,3101.7,42189.0
12,16364.5,41907.0
13,16365.9,41762.0
14,42765.6,19864.0
15,42766.6,19450.0
16,42767.7,19362.0
17,42769.1,19130.0
18,42773.0,19037.0
19,42773.3,18870.0
20,42773.8,18805.0
21,44084.6,17732.0
22,44085.0,17486.0
23,44085.9,17471.0
25,46127.8,17360.0
26,46128.6,17345.0
27,46656.3,17295.0
28,46656.6,17280.0
29,47695.2,17265.0
30,47733.9,17200.0
31,51409.4,17175.0
32,51410.9,17160.0
33,67388.7,17120.0
34,67868.1,17080.0
35,235139.8,16955.0
36,236113.6,16875.0
37,238383.9,16835.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,38.5,43813.0,"42939; 0; 10; 112; 13; 4; 3; 18; 0; 704; 0; 10"
2,39.5,43698.0,"42825; 0; 10; 106; 18; 5; 2; 18; 0; 704; 0; 10"
3,40.6,43270.0,"42402; 0; 8; 106; 15; 5; 2; 18; 0; 704; 0; 10"
4,41.1,43103.0,"42237; 0; 8; 106; 13; 4; 3; 18; 0; 704; 0; 10"
5,41.3,42958.0,"42094; 0; 8; 106; 12; 4; 2; 18; 0; 704; 0; 10"
6,44.6,42747.0,"41885; 0; 10; 98; 14; 5; 3; 18; 0; 704; 0; 10"
7,2884.6,42667.0,"41806; 0; 10; 98; 13; 5; 3; 18; 0; 704; 0; 10"
8,3053.4,42654.0,"41793; 0; 8; 98; 16; 5; 2; 18; 0; 704; 0; 10"
9,3059.3,42414.0,"41556; 0; 8; 98; 13; 5; 2; 18; 0; 704; 0; 10"
10,3067.8,42269.0,"41413; 0; 8; 98; 12; 5; 1; 18; 0; 704; 0; 10"
11,3101.7,42189.0,"41334; 0; 8; 98; 11; 5; 1; 18; 0; 704; 0; 10"
12,16364.5,41907.0,"41056; 0; 8; 92; 14; 4; 3; 18; 0; 704; 0; 8"
13,16365.9,41762.0,"40913; 0; 8; 92; 13; 4; 2; 18; 0; 704; 0; 8"
14,42765.6,19864.0,"19556; 0; 10; 114; 20; 6; 1; 18; 0; 131; 0; 8"
15,42766.6,19450.0,"19147; 0; 10; 112; 17; 6; 1; 18; 0; 131; 0; 8"
16,42767.7,19362.0,"19060; 0; 10; 112; 15; 7; 1; 18; 0; 131; 0; 8"
17,42769.1,19130.0,"18831; 0; 10; 112; 13; 6; 1; 18; 0; 131; 0; 8"
18,42773.0,19037.0,"18739; 0; 8; 112; 15; 6; 0; 18; 0; 131; 0; 8"
19,42773.3,18870.0,"18574; 0; 8; 112; 13; 5; 1; 18; 0; 131; 0; 8"
20,42773.8,18805.0,"18510; 0; 8; 112; 13; 5; 0; 18; 0; 131; 0; 8"
21,44084.6,17732.0,"17449; 0; 8; 98; 14; 5; 1; 18; 0; 131; 0; 8"
22,44085.0,17486.0,"17206; 0; 8; 96; 14; 4; 1; 18; 0; 131; 0; 8"
23,44085.9,17471.0,"17191; 0; 8; 96; 13; 4; 2; 18; 0; 131; 0; 8"
24,46094.5,17475.0,"17191; 0; 8; 88; 15; 4; 7; 18; 0; 136; 0; 8"
25,46127.8,17360.0,"17078; 0; 8; 88; 16; 4; 4; 18; 0; 136; 0; 8"
26,46128.6,17345.0,"17063; 0; 8; 88; 15; 4; 5; 18; 0; 136; 0; 8"
27,46656.3,17295.0,"17014; 0; 8; 88; 16; 4; 3; 18; 0; 136; 0; 8"
28,46656.6,17280.0,"16999; 0; 8; 88; 15; 4; 4; 18; 0; 136; 0; 8"
29,47695.2,17265.0,"16984; 0; 8; 88; 14; 4; 5; 18; 0; 136; 0; 8"
30,47733.9,17200.0,"16920; 0; 8; 88; 14; 4; 4; 18; 0; 136; 0; 8"
31,51409.4,17175.0,"16899; 0; 8; 90; 16; 3; 2; 20; 0; 131; 0; 6"
32,51410.9,17160.0,"16884; 0; 8; 90; 15; 3; 3; 20; 0; 131; 0; 6"
33,67388.7,17120.0,"16843; 0; 8; 90; 12; 5; 3; 18; 0; 135; 0; 6"
34,67868.1,17080.0,"16807; 0; 8; 92; 13; 4; 2; 20; 0; 130; 0; 4"
35,235139.8,16955.0,"16682; 0; 8; 90; 13; 5; 3; 16; 0; 132; 0; 6"
36,236113.6,16875.0,"16603; 0; 8; 90; 12; 5; 3; 16; 0; 132; 0; 6"
37,238383.9,16835.0,"16567; 0; 8; 92; 13; 4; 2; 18; 0; 127; 0; 4"
