cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-3,1-3-3,480000,0,480000.0,38.7,209943.7,23,23,15588.0,TIMEOUT_MAX,4102440,2051177,0,2761466600,119

# Améliorations
solution_num,temps_ms,cout
1,38.7,19586.0
2,39.7,19565.0
3,40.4,18915.0
4,41.1,18108.0
5,3218.1,17999.0
6,4215.0,17949.0
7,4216.2,17934.0
8,13544.3,17832.0
9,13579.1,17767.0
10,19003.0,17672.0
11,19003.7,17360.0
12,33270.3,17119.0
13,35583.2,16752.0
14,35585.2,16512.0
15,36161.1,16490.0
16,36166.2,16425.0
17,98914.8,16296.0
18,98915.8,16144.0
19,99093.1,15784.0
20,106927.4,15778.0
21,106936.4,15713.0
22,209942.2,15653.0
23,209943.7,15588.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,38.7,19586.0,"19287; 0; 4; 130; 11; 4; 3; 20; 0; 121; 0; 6"
2,39.7,19565.0,"19266; 0; 2; 130; 13; 5; 2; 20; 0; 121; 0; 6"
3,40.4,18915.0,"18623; 0; 2; 116; 21; 4; 2; 20; 0; 121; 0; 6"
4,41.1,18108.0,"17826; 0; 2; 116; 11; 3; 3; 20; 0; 121; 0; 6"
5,3218.1,17999.0,"17718; 0; 2; 114; 11; 3; 4; 20; 0; 121; 0; 6"
6,4215.0,17949.0,"17669; 0; 2; 114; 12; 3; 2; 20; 0; 121; 0; 6"
7,4216.2,17934.0,"17654; 0; 2; 114; 11; 3; 3; 20; 0; 121; 0; 6"
8,13544.3,17832.0,"17553; 0; 2; 114; 9; 4; 3; 20; 0; 120; 0; 7"
9,13579.1,17767.0,"17489; 0; 2; 114; 9; 4; 2; 20; 0; 120; 0; 7"
10,19003.0,17672.0,"17394; 0; 4; 106; 12; 6; 2; 20; 0; 120; 0; 8"
11,19003.7,17360.0,"17086; 0; 4; 106; 9; 5; 2; 20; 0; 120; 0; 8"
12,33270.3,17119.0,"16847; 0; 4; 98; 12; 7; 4; 18; 0; 122; 0; 7"
13,35583.2,16752.0,"16485; 0; 2; 98; 14; 5; 1; 18; 0; 122; 0; 7"
14,35585.2,16512.0,"16248; 0; 2; 98; 11; 5; 1; 18; 0; 122; 0; 7"
15,36161.1,16490.0,"16226; 0; 2; 98; 10; 4; 3; 18; 0; 122; 0; 7"
16,36166.2,16425.0,"16162; 0; 2; 98; 10; 4; 2; 18; 0; 122; 0; 7"
17,98914.8,16296.0,"16031; 0; 6; 82; 13; 8; 4; 18; 0; 128; 0; 6"
18,98915.8,16144.0,"15881; 0; 6; 82; 12; 7; 4; 18; 0; 128; 0; 6"
19,99093.1,15784.0,"15526; 0; 2; 88; 10; 4; 2; 18; 0; 128; 0; 6"
20,106927.4,15778.0,"15520; 0; 2; 88; 10; 4; 3; 18; 0; 125; 0; 8"
21,106936.4,15713.0,"15456; 0; 2; 88; 10; 4; 2; 18; 0; 125; 0; 8"
22,209942.2,15653.0,"15397; 0; 4; 84; 11; 4; 3; 16; 0; 128; 0; 6"
23,209943.7,15588.0,"15333; 0; 4; 84; 11; 4; 2; 16; 0; 128; 0; 6"
