cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-3,2-3-3,480000,0,480000.2,35.7,243903.7,42,42,13141.0,TIMEOUT_MAX,4119763,2059823,0,3178119037,121

# Améliorations
solution_num,temps_ms,cout
1,35.7,19678.0
2,38.4,17240.0
3,39.0,16841.0
4,39.3,16565.0
5,40.1,16478.0
6,47.3,16435.0
7,48.0,16348.0
8,126.2,16043.0
9,127.1,15899.0
10,127.4,15812.0
11,135.0,15710.0
12,136.4,15587.0
13,178.9,15508.0
14,296.7,15363.0
15,298.0,15275.0
16,405.1,15224.0
17,561.4,15203.0
18,577.5,15145.0
19,2388.0,15107.0
20,11169.4,15055.0
21,11169.8,15018.0
22,11170.2,14902.0
23,11350.5,14866.0
24,11351.2,14736.0
25,11351.9,14460.0
26,11353.1,14416.0
27,11354.0,14373.0
28,12578.5,14308.0
29,12979.8,14250.0
30,18900.8,14244.0
31,23163.4,14179.0
32,24701.2,14121.0
33,72897.6,14065.0
34,160887.1,13765.0
35,161065.7,13525.0
36,180375.8,13482.0
37,180405.7,13467.0
38,186231.7,13422.0
39,203076.1,13364.0
40,209141.6,13270.0
41,228200.6,13199.0
42,243903.7,13141.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,35.7,19678.0,"19395; 0; 4; 116; 52; 3; 5; 10; 0; 88; 0; 5"
2,38.4,17240.0,"16988; 0; 4; 122; 15; 3; 5; 10; 0; 88; 0; 5"
3,39.0,16841.0,"16594; 0; 4; 120; 13; 3; 4; 10; 0; 88; 0; 5"
4,39.3,16565.0,"16321; 0; 4; 116; 13; 4; 4; 10; 0; 88; 0; 5"
5,40.1,16478.0,"16235; 0; 4; 116; 12; 3; 5; 10; 0; 88; 0; 5"
6,47.3,16435.0,"16193; 0; 4; 116; 13; 4; 2; 10; 0; 88; 0; 5"
7,48.0,16348.0,"16107; 0; 4; 116; 12; 3; 3; 10; 0; 88; 0; 5"
8,126.2,16043.0,"15805; 0; 8; 102; 17; 4; 4; 10; 0; 88; 0; 5"
9,127.1,15899.0,"15662; 0; 4; 102; 19; 5; 4; 10; 0; 88; 0; 5"
10,127.4,15812.0,"15576; 0; 4; 102; 18; 4; 5; 10; 0; 88; 0; 5"
11,135.0,15710.0,"15476; 0; 6; 102; 16; 4; 3; 10; 0; 88; 0; 5"
12,136.4,15587.0,"15354; 0; 4; 102; 16; 4; 4; 10; 0; 88; 0; 5"
13,178.9,15508.0,"15276; 0; 4; 102; 16; 2; 5; 10; 0; 88; 0; 5"
14,296.7,15363.0,"15133; 0; 4; 102; 15; 2; 4; 10; 0; 88; 0; 5"
15,298.0,15275.0,"15046; 0; 4; 102; 13; 3; 4; 10; 0; 88; 0; 5"
16,405.1,15224.0,"14996; 0; 4; 102; 13; 5; 1; 10; 0; 88; 0; 5"
17,561.4,15203.0,"14975; 0; 4; 102; 13; 2; 4; 10; 0; 88; 0; 5"
18,577.5,15145.0,"14918; 0; 4; 102; 13; 3; 2; 10; 0; 88; 0; 5"
19,2388.0,15107.0,"14880; 0; 4; 102; 10; 4; 4; 10; 0; 88; 0; 5"
20,11169.4,15055.0,"14826; 0; 8; 88; 18; 4; 3; 10; 0; 93; 0; 5"
21,11169.8,15018.0,"14790; 0; 10; 88; 16; 4; 2; 10; 0; 93; 0; 5"
22,11170.2,14902.0,"14675; 0; 8; 88; 16; 5; 2; 10; 0; 93; 0; 5"
23,11350.5,14866.0,"14639; 0; 8; 88; 15; 2; 6; 10; 0; 93; 0; 5"
24,11351.2,14736.0,"14511; 0; 6; 92; 13; 2; 4; 10; 0; 93; 0; 5"
25,11351.9,14460.0,"14238; 0; 6; 88; 13; 3; 4; 10; 0; 93; 0; 5"
26,11353.1,14416.0,"14195; 0; 8; 88; 11; 2; 4; 10; 0; 93; 0; 5"
27,11354.0,14373.0,"14152; 0; 6; 88; 12; 2; 5; 10; 0; 93; 0; 5"
28,12578.5,14308.0,"14088; 0; 6; 88; 12; 2; 4; 10; 0; 93; 0; 5"
29,12979.8,14250.0,"14031; 0; 6; 88; 12; 3; 2; 10; 0; 93; 0; 5"
30,18900.8,14244.0,"14026; 0; 4; 88; 13; 5; 4; 10; 0; 89; 0; 5"
31,23163.4,14179.0,"13962; 0; 4; 88; 13; 5; 3; 10; 0; 89; 0; 5"
32,24701.2,14121.0,"13905; 0; 4; 88; 13; 6; 1; 10; 0; 89; 0; 5"
33,72897.6,14065.0,"13849; 0; 4; 88; 14; 3; 2; 10; 0; 88; 0; 7"
34,160887.1,13765.0,"13549; 0; 6; 78; 15; 0; 6; 10; 0; 94; 0; 7"
35,161065.7,13525.0,"13312; 0; 6; 78; 12; 0; 6; 10; 0; 94; 0; 7"
36,180375.8,13482.0,"13271; 0; 4; 78; 14; 3; 4; 10; 0; 93; 0; 5"
37,180405.7,13467.0,"13256; 0; 4; 78; 13; 3; 5; 10; 0; 93; 0; 5"
38,186231.7,13422.0,"13209; 0; 6; 74; 13; 2; 5; 10; 0; 96; 0; 7"
39,203076.1,13364.0,"13153; 0; 4; 74; 14; 5; 4; 10; 0; 95; 0; 5"
40,209141.6,13270.0,"13061; 0; 6; 74; 13; 0; 6; 10; 0; 97; 0; 3"
41,228200.6,13199.0,"12991; 0; 6; 74; 13; 0; 6; 10; 0; 94; 0; 5"
42,243903.7,13141.0,"12935; 0; 4; 74; 14; 3; 5; 10; 0; 93; 0; 3"
