cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-3,3-3-3,480000,0,480000.0,37.6,353405.5,38,37,12432.0,TIMEOUT_MAX,3910187,1955043,0,2788314925,91

# Améliorations
solution_num,temps_ms,cout
1,37.6,16859.0
2,49.0,16839.0
3,49.6,16767.0
4,53.0,15706.0
5,55.5,15698.0
6,57.3,15626.0
7,125.5,15574.0
8,126.2,15451.0
9,128.0,15371.0
10,148.9,15102.0
11,150.4,15014.0
12,1044.6,14807.0
13,2349.9,14732.0
14,6070.3,14711.0
15,6994.9,14466.0
16,7007.3,14386.0
17,18817.2,14322.0
18,35704.0,13568.0
19,35725.8,13445.0
20,36037.7,13388.0
21,36280.4,13359.0
23,39355.6,13315.0
24,39362.4,13192.0
25,39770.5,13156.0
26,39820.9,13106.0
27,41064.7,13085.0
28,41218.2,13056.0
29,42283.1,13026.0
30,42394.5,12946.0
31,42748.1,12917.0
32,118725.1,12904.0
33,219210.4,12863.0
34,219236.2,12813.0
35,224437.2,12800.0
36,225765.9,12634.0
37,225787.2,12584.0
38,353405.5,12432.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,37.6,16859.0,"16605; 0; 4; 118; 8; 11; 1; 2; 0; 101; 0; 9"
2,49.0,16839.0,"16584; 0; 4; 108; 17; 11; 3; 2; 0; 101; 0; 9"
3,49.6,16767.0,"16513; 0; 4; 108; 17; 10; 3; 2; 0; 101; 0; 9"
4,53.0,15706.0,"15465; 0; 4; 104; 8; 11; 2; 2; 0; 101; 0; 9"
5,55.5,15698.0,"15457; 0; 4; 104; 7; 12; 2; 2; 0; 101; 0; 9"
6,57.3,15626.0,"15386; 0; 4; 104; 7; 11; 2; 2; 0; 101; 0; 9"
7,125.5,15574.0,"15335; 0; 6; 104; 4; 11; 2; 2; 0; 101; 0; 9"
8,126.2,15451.0,"15213; 0; 4; 104; 4; 11; 3; 2; 0; 101; 0; 9"
9,128.0,15371.0,"15134; 0; 4; 104; 3; 11; 3; 2; 0; 101; 0; 9"
10,148.9,15102.0,"14868; 0; 4; 100; 3; 13; 2; 2; 0; 101; 0; 9"
11,150.4,15014.0,"14781; 0; 4; 100; 1; 14; 2; 2; 0; 101; 0; 9"
12,1044.6,14807.0,"14577; 0; 4; 100; 3; 8; 3; 2; 0; 101; 0; 9"
13,2349.9,14732.0,"14502; 0; 4; 96; 2; 12; 4; 2; 0; 101; 0; 9"
14,6070.3,14711.0,"14481; 0; 4; 92; 6; 13; 3; 2; 0; 101; 0; 9"
15,6994.9,14466.0,"14240; 0; 4; 96; 3; 9; 2; 2; 0; 101; 0; 9"
16,7007.3,14386.0,"14161; 0; 4; 96; 2; 9; 2; 2; 0; 101; 0; 9"
17,18817.2,14322.0,"14097; 0; 4; 96; 2; 7; 3; 2; 0; 100; 0; 11"
18,35704.0,13568.0,"13357; 0; 6; 90; 2; 7; 2; 6; 0; 85; 0; 13"
19,35725.8,13445.0,"13235; 0; 4; 90; 2; 7; 3; 6; 0; 85; 0; 13"
20,36037.7,13388.0,"13178; 0; 4; 84; 7; 7; 4; 6; 0; 85; 0; 13"
21,36280.4,13359.0,"13150; 0; 4; 88; 4; 6; 3; 6; 0; 85; 0; 13"
22,38412.8,13362.0,"13149; 0; 4; 84; 5; 6; 3; 4; 0; 94; 0; 13"
23,39355.6,13315.0,"13109; 0; 8; 86; 3; 6; 2; 6; 0; 84; 0; 11"
24,39362.4,13192.0,"12987; 0; 6; 86; 3; 6; 3; 6; 0; 84; 0; 11"
25,39770.5,13156.0,"12951; 0; 6; 84; 4; 5; 5; 6; 0; 84; 0; 11"
26,39820.9,13106.0,"12902; 0; 6; 84; 5; 5; 3; 6; 0; 84; 0; 11"
27,41064.7,13085.0,"12879; 0; 4; 80; 9; 6; 4; 6; 0; 84; 0; 13"
28,41218.2,13056.0,"12851; 0; 4; 84; 6; 5; 3; 6; 0; 84; 0; 13"
29,42283.1,13026.0,"12822; 0; 4; 80; 9; 7; 4; 4; 0; 85; 0; 11"
30,42394.5,12946.0,"12743; 0; 4; 80; 8; 7; 4; 4; 0; 85; 0; 11"
31,42748.1,12917.0,"12715; 0; 4; 84; 5; 6; 3; 4; 0; 85; 0; 11"
32,118725.1,12904.0,"12700; 0; 4; 78; 3; 11; 4; 6; 0; 90; 0; 8"
33,219210.4,12863.0,"12660; 0; 4; 78; 6; 6; 5; 6; 0; 91; 0; 7"
34,219236.2,12813.0,"12611; 0; 4; 78; 7; 6; 3; 6; 0; 91; 0; 7"
35,224437.2,12800.0,"12600; 0; 6; 78; 7; 5; 3; 6; 0; 88; 0; 7"
36,225765.9,12634.0,"12435; 0; 4; 78; 6; 5; 5; 6; 0; 86; 0; 9"
37,225787.2,12584.0,"12386; 0; 4; 78; 7; 5; 3; 6; 0; 86; 0; 9"
38,353405.5,12432.0,"12237; 0; 4; 78; 6; 5; 3; 6; 0; 85; 0; 8"
