cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-4,1-3-2,480000,0,480000.0,54.1,46898.4,14,14,57130.0,TIMEOUT_MAX,6215041,3107471,0,1182791639,168

# Améliorations
solution_num,temps_ms,cout
1,54.1,62721.0
2,54.6,59889.0
3,54.9,58575.0
4,187.9,58295.0
5,235.1,58227.0
6,674.9,58159.0
7,13254.9,57879.0
8,13368.2,57647.0
9,13368.8,57531.0
10,17411.2,57463.0
11,32749.0,57382.0
12,33037.8,57266.0
13,36254.3,57198.0
14,46898.4,57130.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,54.1,62721.0,"61788; 16; 2; 144; 5; 10; 443; 55; 85; 24; 0; 121; 14; 14"
2,54.6,59889.0,"58994; 16; 2; 144; 4; 10; 403; 50; 85; 32; 0; 121; 14; 14"
3,54.9,58575.0,"57696; 16; 2; 130; 4; 10; 403; 50; 85; 32; 0; 121; 12; 14"
4,187.9,58295.0,"57420; 16; 2; 130; 4; 10; 403; 50; 79; 32; 0; 121; 14; 14"
5,235.1,58227.0,"57354; 16; 2; 130; 4; 10; 403; 50; 79; 32; 0; 121; 12; 14"
6,674.9,58159.0,"57288; 16; 2; 130; 4; 10; 403; 50; 79; 32; 0; 121; 10; 14"
7,13254.9,57879.0,"57012; 16; 2; 130; 4; 10; 403; 50; 73; 32; 0; 121; 12; 14"
8,13368.2,57647.0,"56784; 16; 2; 130; 4; 10; 403; 50; 69; 32; 0; 121; 12; 14"
9,13368.8,57531.0,"56670; 16; 2; 130; 4; 10; 403; 50; 67; 32; 0; 121; 12; 14"
10,17411.2,57463.0,"56604; 16; 2; 130; 4; 10; 403; 50; 67; 32; 0; 121; 10; 14"
11,32749.0,57382.0,"56524; 16; 2; 130; 5; 10; 403; 50; 69; 24; 0; 121; 14; 14"
12,33037.8,57266.0,"56410; 16; 2; 130; 5; 10; 403; 50; 67; 24; 0; 121; 14; 14"
13,36254.3,57198.0,"56344; 16; 2; 130; 5; 10; 403; 50; 67; 24; 0; 121; 12; 14"
14,46898.4,57130.0,"56278; 16; 2; 130; 5; 10; 403; 50; 67; 24; 0; 121; 10; 14"
