cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-4,2-2-3,480000,0,480451.7,34.6,37781.8,19,19,27556.0,TIMEOUT_MAX,6444585,3222241,0,1493682821,152

# Améliorations
solution_num,temps_ms,cout
1,34.6,33333.0
2,48.6,28800.0
3,49.8,28732.0
4,62.1,28720.0
5,114.8,28664.0
6,880.1,28608.0
7,6054.3,28588.0
8,6070.0,28560.0
9,6081.4,28548.0
10,6111.7,28492.0
11,6142.3,28424.0
12,31167.6,28364.0
13,31424.8,28308.0
14,34064.6,27930.0
15,34068.2,27740.0
16,37035.1,27720.0
17,37770.4,27692.0
18,37772.8,27624.0
19,37781.8,27556.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,34.6,33333.0,"32839; 8; 22; 120; 4; 10; 122; 15; 70; 32; 0; 54; 16; 21"
2,48.6,28800.0,"28365; 8; 20; 106; 4; 10; 82; 10; 70; 32; 0; 54; 18; 21"
3,49.8,28732.0,"28299; 8; 20; 106; 4; 10; 82; 10; 70; 32; 0; 54; 16; 21"
4,62.1,28720.0,"28287; 8; 20; 106; 4; 10; 82; 10; 70; 32; 0; 54; 14; 23"
5,114.8,28664.0,"28233; 8; 20; 106; 4; 10; 82; 10; 70; 32; 0; 54; 14; 21"
6,880.1,28608.0,"28179; 8; 20; 106; 4; 10; 82; 10; 70; 32; 0; 54; 14; 19"
7,6054.3,28588.0,"28158; 8; 20; 106; 4; 10; 82; 10; 68; 32; 0; 54; 16; 20"
8,6070.0,28560.0,"28131; 8; 20; 106; 4; 10; 82; 10; 68; 32; 0; 54; 16; 19"
9,6081.4,28548.0,"28119; 8; 20; 106; 4; 10; 82; 10; 68; 32; 0; 54; 14; 21"
10,6111.7,28492.0,"28065; 8; 20; 106; 4; 10; 82; 10; 68; 32; 0; 54; 14; 19"
11,6142.3,28424.0,"27999; 8; 20; 106; 4; 10; 82; 10; 68; 32; 0; 54; 12; 19"
12,31167.6,28364.0,"27939; 8; 20; 106; 4; 10; 82; 10; 66; 32; 0; 54; 12; 21"
13,31424.8,28308.0,"27885; 8; 20; 106; 4; 10; 82; 10; 66; 32; 0; 54; 12; 19"
14,34064.6,27930.0,"27507; 0; 22; 106; 4; 10; 82; 10; 68; 32; 0; 54; 14; 21"
15,34068.2,27740.0,"27319; 0; 20; 106; 4; 10; 82; 10; 68; 32; 0; 54; 14; 21"
16,37035.1,27720.0,"27298; 0; 20; 106; 4; 10; 82; 10; 66; 32; 0; 54; 16; 22"
17,37770.4,27692.0,"27271; 0; 20; 106; 4; 10; 82; 10; 66; 32; 0; 54; 16; 21"
18,37772.8,27624.0,"27205; 0; 20; 106; 4; 10; 82; 10; 66; 32; 0; 54; 14; 21"
19,37781.8,27556.0,"27139; 0; 20; 106; 4; 10; 82; 10; 66; 32; 0; 54; 12; 21"
