cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-4,2-3-3,480000,0,480546.2,36.2,29958.1,13,13,28798.0,TIMEOUT_MAX,6532118,3266013,0,1363818190,158

# Améliorations
solution_num,temps_ms,cout
1,36.2,34575.0
2,50.3,30042.0
3,50.7,29974.0
4,61.5,29962.0
5,118.8,29906.0
6,1729.2,29850.0
7,2883.5,29830.0
8,3022.8,29666.0
9,15466.2,29550.0
10,20832.5,28970.0
11,20983.6,28914.0
12,29809.3,28854.0
13,29958.1,28798.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,36.2,34575.0,"34048; 8; 14; 130; 4; 9; 121; 15; 66; 32; 0; 92; 16; 20"
2,50.3,30042.0,"29574; 8; 12; 116; 4; 9; 81; 10; 66; 32; 0; 92; 18; 20"
3,50.7,29974.0,"29508; 8; 12; 116; 4; 9; 81; 10; 66; 32; 0; 92; 16; 20"
4,61.5,29962.0,"29496; 8; 12; 116; 4; 9; 81; 10; 66; 32; 0; 92; 14; 22"
5,118.8,29906.0,"29442; 8; 12; 116; 4; 9; 81; 10; 66; 32; 0; 92; 14; 20"
6,1729.2,29850.0,"29388; 8; 12; 116; 4; 9; 81; 10; 66; 32; 0; 92; 14; 18"
7,2883.5,29830.0,"29367; 8; 12; 116; 4; 9; 81; 10; 64; 32; 0; 92; 16; 19"
8,3022.8,29666.0,"29208; 8; 12; 116; 4; 9; 81; 10; 64; 32; 0; 92; 12; 18"
9,15466.2,29550.0,"29094; 8; 12; 116; 4; 9; 81; 10; 62; 32; 0; 92; 12; 18"
10,20832.5,28970.0,"28516; 0; 12; 116; 4; 9; 81; 10; 64; 32; 0; 92; 12; 22"
11,20983.6,28914.0,"28462; 0; 12; 116; 4; 9; 81; 10; 64; 32; 0; 92; 12; 20"
12,29809.3,28854.0,"28402; 0; 12; 116; 4; 9; 81; 10; 62; 32; 0; 92; 12; 22"
13,29958.1,28798.0,"28348; 0; 12; 116; 4; 9; 81; 10; 62; 32; 0; 92; 12; 20"
