cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-4,3-3-3,480000,0,480000.1,45.4,286076.1,49,49,33845.0,TIMEOUT_MAX,7304678,3652258,0,1162393130,123

# Améliorations
solution_num,temps_ms,cout
1,45.4,44150.0
2,56.5,44034.0
3,1101.6,43966.0
4,2573.6,43926.0
5,21620.1,43406.0
6,21636.5,43338.0
7,21636.6,43270.0
8,21727.7,43214.0
9,26535.8,43174.0
10,48536.8,43141.0
11,48592.5,37772.0
12,49853.5,37156.0
13,49853.7,37088.0
14,49868.4,37020.0
15,65510.5,36512.0
16,65524.7,36444.0
17,65525.2,36376.0
18,67140.2,36364.0
19,67297.1,36308.0
20,72047.3,36268.0
21,87793.1,36212.0
22,87794.1,36172.0
23,88695.5,36144.0
24,88696.0,36076.0
25,88696.6,36036.0
26,106592.4,36008.0
27,107698.0,35968.0
28,258907.7,35889.0
29,259136.9,35841.0
30,259137.4,35793.0
31,259137.6,35725.0
32,259263.9,35657.0
33,259777.9,35109.0
34,259778.3,35041.0
35,259804.6,34973.0
36,259805.0,34905.0
37,265543.8,34863.0
38,265544.1,34795.0
39,267450.3,34727.0
40,268314.0,34261.0
41,268452.4,34233.0
42,268598.2,34193.0
43,272131.3,34153.0
44,277004.2,34105.0
45,278648.4,34037.0
46,281204.0,33969.0
47,285985.8,33953.0
48,285999.1,33885.0
49,286076.1,33845.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,45.4,44150.0,"43478; 16; 6; 102; 6; 0; 287; 35; 48; 32; 0; 101; 26; 13"
2,56.5,44034.0,"43364; 16; 6; 102; 6; 0; 287; 35; 46; 32; 0; 101; 26; 13"
3,1101.6,43966.0,"43298; 16; 6; 102; 6; 0; 287; 35; 46; 32; 0; 101; 24; 13"
4,2573.6,43926.0,"43259; 16; 6; 102; 6; 0; 287; 35; 46; 32; 0; 101; 22; 14"
5,21620.1,43406.0,"42738; 8; 6; 102; 6; 0; 287; 35; 46; 32; 0; 101; 28; 17"
6,21636.5,43338.0,"42672; 8; 6; 102; 6; 0; 287; 35; 46; 32; 0; 101; 26; 17"
7,21636.6,43270.0,"42606; 8; 6; 102; 6; 0; 287; 35; 46; 32; 0; 101; 24; 17"
8,21727.7,43214.0,"42552; 8; 6; 102; 6; 0; 287; 35; 46; 32; 0; 101; 24; 15"
9,26535.8,43174.0,"42513; 8; 6; 102; 6; 0; 287; 35; 46; 32; 0; 101; 22; 16"
10,48536.8,43141.0,"42479; 16; 6; 102; 6; 0; 247; 30; 88; 32; 0; 101; 22; 12"
11,48592.5,37772.0,"37193; 16; 6; 102; 6; 0; 207; 25; 50; 32; 0; 101; 22; 12"
12,49853.5,37156.0,"36579; 8; 6; 102; 6; 0; 207; 25; 50; 32; 0; 101; 26; 14"
13,49853.7,37088.0,"36513; 8; 6; 102; 6; 0; 207; 25; 50; 32; 0; 101; 24; 14"
14,49868.4,37020.0,"36447; 8; 6; 102; 6; 0; 207; 25; 50; 32; 0; 101; 22; 14"
15,65510.5,36512.0,"35938; 0; 6; 102; 6; 0; 207; 25; 50; 32; 0; 101; 30; 15"
16,65524.7,36444.0,"35872; 0; 6; 102; 6; 0; 207; 25; 50; 32; 0; 101; 28; 15"
17,65525.2,36376.0,"35806; 0; 6; 102; 6; 0; 207; 25; 50; 32; 0; 101; 26; 15"
18,67140.2,36364.0,"35794; 0; 6; 102; 6; 0; 207; 25; 50; 32; 0; 101; 24; 17"
19,67297.1,36308.0,"35740; 0; 6; 102; 6; 0; 207; 25; 50; 32; 0; 101; 24; 15"
20,72047.3,36268.0,"35701; 0; 6; 102; 6; 0; 207; 25; 50; 32; 0; 101; 22; 16"
21,87793.1,36212.0,"35644; 0; 6; 102; 6; 0; 207; 25; 46; 32; 0; 101; 28; 15"
22,87794.1,36172.0,"35605; 0; 6; 102; 6; 0; 207; 25; 46; 32; 0; 101; 26; 16"
23,88695.5,36144.0,"35578; 0; 6; 102; 6; 0; 207; 25; 46; 32; 0; 101; 26; 15"
24,88696.0,36076.0,"35512; 0; 6; 102; 6; 0; 207; 25; 46; 32; 0; 101; 24; 15"
25,88696.6,36036.0,"35473; 0; 6; 102; 6; 0; 207; 25; 46; 32; 0; 101; 22; 16"
26,106592.4,36008.0,"35446; 0; 6; 102; 6; 0; 207; 25; 46; 32; 0; 101; 22; 15"
27,107698.0,35968.0,"35407; 0; 6; 102; 6; 0; 207; 25; 46; 32; 0; 101; 20; 16"
28,258907.7,35889.0,"35341; 16; 6; 102; 5; 0; 207; 25; 18; 32; 0; 101; 22; 14"
29,259136.9,35841.0,"35293; 16; 6; 102; 5; 0; 207; 25; 16; 32; 0; 101; 24; 14"
30,259137.4,35793.0,"35245; 16; 6; 102; 5; 0; 207; 25; 14; 32; 0; 101; 26; 14"
31,259137.6,35725.0,"35179; 16; 6; 102; 5; 0; 207; 25; 14; 32; 0; 101; 24; 14"
32,259263.9,35657.0,"35113; 16; 6; 102; 5; 0; 207; 25; 14; 32; 0; 101; 22; 14"
33,259777.9,35109.0,"34565; 8; 6; 102; 5; 0; 207; 25; 14; 32; 0; 101; 28; 16"
34,259778.3,35041.0,"34499; 8; 6; 102; 5; 0; 207; 25; 14; 32; 0; 101; 26; 16"
35,259804.6,34973.0,"34433; 8; 6; 102; 5; 0; 207; 25; 14; 32; 0; 101; 24; 16"
36,259805.0,34905.0,"34367; 8; 6; 102; 5; 0; 207; 25; 14; 32; 0; 101; 22; 16"
37,265543.8,34863.0,"34320; 0; 6; 108; 5; 0; 207; 25; 14; 32; 0; 101; 28; 17"
38,265544.1,34795.0,"34254; 0; 6; 108; 5; 0; 207; 25; 14; 32; 0; 101; 26; 17"
39,267450.3,34727.0,"34188; 0; 6; 108; 5; 0; 207; 25; 14; 32; 0; 101; 24; 17"
40,268314.0,34261.0,"33726; 0; 6; 102; 5; 0; 207; 25; 14; 32; 0; 101; 26; 17"
41,268452.4,34233.0,"33699; 0; 6; 102; 5; 0; 207; 25; 14; 32; 0; 101; 26; 16"
42,268598.2,34193.0,"33660; 0; 6; 102; 5; 0; 207; 25; 14; 32; 0; 101; 24; 17"
