========================================
  RÉSULTATS : 4voices_1_1_1_3_vtype_2_2_3
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 2
v_type            : 2 2 3
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.1
Temps 1ère solution (ms)    : 28.9
Temps dernière amélio. (ms) : 465529.9
Solutions trouvées          : 117
Améliorations de coût       : 117
Score pondéré           : 18239.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3501333
Échecs     : 1750531
Restarts   : 0
Propagat.  : 2372983692
Profondeur : 113

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          28.9     26644.0
       2          29.7     26424.0
       3          30.0     26369.0
       4          30.3     26314.0
       5          30.8     26259.0
       6          31.1     26204.0
       7          31.3     26149.0
       8          31.6     26094.0
       9          31.9     26039.0
      10          32.1     25984.0
      11          32.3     25929.0
      12          32.6     25874.0
      13          32.8     25819.0
      14          33.1     25764.0
      15          33.3     25709.0
      16          33.6     25654.0
      17          33.8     25599.0
      18          34.1     25544.0
      19          34.3     25489.0
      20          34.5     25434.0
      21          34.8     25379.0
      22          35.0     25324.0
      23          35.1     25104.0
      24          35.8     25082.0
      25          36.1     25027.0
      26          36.5     24972.0
      27          36.8     24917.0
      28          37.1     24862.0
      29          37.5     24807.0
      30          37.8     24752.0
      31          38.3     24697.0
      32          38.5     24642.0
      33          38.8     24587.0
      34          39.0     24532.0
      35          39.2     24477.0
      36          39.5     24422.0
      37          39.7     24367.0
      38          40.0     24312.0
      39          40.2     24257.0
      40          40.4     24037.0
      41          42.5     24034.0
      42          43.0     23979.0
      43          43.3     23924.0
      44          43.5     23869.0
      45          43.8     23814.0
      46          44.1     23759.0
      47          44.4     23539.0
      48          72.2     23478.0
      49          73.6     23407.0
      50          78.1     23238.0
      51         137.3     23214.0
      52         647.5     23158.0
      53         924.8     23081.0
      54         940.7     23078.0
      55         941.1     23023.0
      56         941.5     22968.0
      57         941.9     22748.0
      58        1031.7     22726.0
      59        1035.2     22723.0
      60        1035.8     22668.0
      61        1036.2     22613.0
      62        1036.5     22558.0
      63        1036.8     22503.0
      64        1037.1     22448.0
      65        1037.4     22228.0
      66        1267.1     22106.0
      67       25409.9     22083.0
      68       25410.7     22028.0
      69       25411.3     21808.0
      70       25420.0     21805.0
      71       25420.7     21750.0
      72       25421.0     21695.0
      73       25421.3     21640.0
      74       25421.6     21585.0
      75       25421.9     21530.0
      76       25422.2     21310.0
      77       25541.0     21188.0
      78       25952.4     21095.0
      79       35999.2     21089.0
      80       36000.2     21034.0
      81       36000.6     20979.0
      82       36001.0     20924.0
      83       36001.4     20869.0
      84       36001.8     20814.0
      85       36002.1     20759.0
      86       36002.5     20539.0
      87       36411.7     20417.0
      88       56416.4     20381.0
