nv,label,status,score,nsol,third_cells,phantom_cells,weak_illegal,downbeat_illegal
2,vt1,NO_OUTPUT,—,0,-,-,-,-
2,vt2,NO_OUTPUT,—,0,-,-,-,-
3,vt1-1,NO_OUTPUT,—,0,-,-,-,-
3,vt2-1,NO_OUTPUT,—,0,-,-,-,-
3,vt2-2,NO_OUTPUT,—,0,-,-,-,-
2,vt3,TIMEOUT_MAX,2331.0,74,14,19,0,0
3,vt1-2,TIMEOUT_MAX,13816.0,9,10,23,0,0
3,vt1-4,TIMEOUT_MAX,17956.0,16,10,23,0,0
3,vt1-3,TIMEOUT_MAX,18955.0,13,10,23,0,0
2,vt4,TIMEOUT_MAX,10107.0,85,14,19,0,0
3,vt3-1,NO_OUTPUT,—,0,-,-,-,-
3,vt3-2,NO_OUTPUT,—,0,-,-,-,-
3,vt2-3,TIMEOUT_MAX,22681.0,24,10,23,0,0
3,vt2-4,TIMEOUT_MAX,23919.0,12,10,23,0,0
3,vt3-3,TIMEOUT_MAX,47254.0,4,10,23,0,0
3,vt3-4,TIMEOUT_MAX,23568.0,17,10,23,0,0
